elapsed_time,num_nodes,num_edges,modularity,nmi_louvain,nmi_leiden
10.9947,500,6103,0.7547,1.0,0.06421148083569157
11.1256,500,6103,0.7547,1.0,0.06421148083569156
11.0277,500,6103,0.7547,1.0,0.06421148083569157
10.9022,500,6103,0.7547,1.0,0.06421148083569157
11.0185,500,6103,0.7547,1.0,0.06421148083569156
11.0206,500,6103,0.7547,1.0,0.06421148083569156
10.9311,500,6103,0.7547,1.0,0.06421148083569156
10.8267,500,6103,0.7547,1.0,0.06421148083569157
10.8153,500,6103,0.7547,1.0,0.06421148083569157
10.8883,500,6103,0.7547,1.0,0.06421148083569157
12.7547,550,6871,0.6146,1.0,0.0648596875485234
12.6796,550,6871,0.6146,1.0,0.0648596875485234
12.6523,550,6871,0.6146,1.0,0.0648596875485234
12.6335,550,6871,0.6146,1.0,0.0648596875485234
12.9198,550,6871,0.6146,1.0,0.0648596875485234
12.3827,550,6871,0.6146,1.0,0.0648596875485234
12.6404,550,6871,0.6146,1.0,0.0648596875485234
12.5418,550,6871,0.6146,1.0,0.0648596875485234
12.7134,550,6871,0.6146,1.0,0.0648596875485234
12.5777,550,6871,0.6146,1.0,0.0648596875485234
13.7592,600,7732,0.4594,0.9262088297921177,0.06730895734717025
13.8806,600,7732,0.4794,0.9800328453668274,0.06355110387095357
13.7130,600,7732,0.4439,0.9436418182101864,0.06791181811352781
13.6576,600,7732,0.4563,0.9243546850763463,0.0880979030428675
14.1003,600,7732,0.4826,0.9747820582466223,0.05612269970731892
13.6868,600,7732,0.4725,0.9710307909502173,0.06162783682403773
13.1542,600,7732,0.4206,0.8775779271402732,0.11433246672131138
14.1277,600,7732,0.4642,0.9491211278814218,0.06809384099220746
13.7447,600,7732,0.4727,0.9678923104824476,0.06853944314409374
13.6882,600,7732,0.4561,0.9373961944156156,0.08134486028564522
13.9339,650,8304,0.3075,0.7774798271421192,0.14490493455702275
14.2890,650,8304,0.3176,0.752511389840517,0.12380537984983571
14.0637,650,8304,0.3172,0.7436209966854848,0.13778190341688534
14.2907,650,8304,0.3199,0.7879237320538047,0.11890034162941433
13.8407,650,8304,0.3066,0.7512720371639394,0.1613082657208535
14.0914,650,8304,0.3002,0.7046115612711242,0.1325196031032355
14.0054,650,8304,0.3285,0.7979097265783316,0.1366247154655703
14.1489,650,8304,0.3292,0.795027881460937,0.1386312599625652
14.0998,650,8304,0.3104,0.7546363906281105,0.1474847878213765
14.0291,650,8304,0.3121,0.7586297257391897,0.14424799854476586
14.0952,700,8985,0.1815,0.44255870385397966,0.17614676036015725
14.0703,700,8985,0.1754,0.4179801631446001,0.16388704481746336
14.1346,700,8985,0.1776,0.456505627488886,0.18282109293106497
14.3266,700,8985,0.1852,0.45818729649273715,0.14244484591263648
2.5763,500,6103,0.5224,0.8416066500750605,0.18676562440552127
2.5979,500,6103,0.5476,0.8580297003398951,0.17192399211506998
2.5976,500,6103,0.5399,0.8273632886512378,0.18454056971836774
2.6033,500,6103,0.5566,0.8533792550661794,0.19151569379115518
2.6163,500,6103,0.5661,0.8578672764060786,0.16840136602384195
