elapsed_time,num_nodes,num_edges,modularity
0.5739,112,425,0.2997
0.5647,112,425,0.2826
0.5743,112,425,0.2957
0.5536,112,425,0.2960
0.5445,112,425,0.3041
0.5624,112,425,0.2912
0.5639,112,425,0.2966
0.5659,112,425,0.2914
0.5597,112,425,0.2961
0.5564,112,425,0.2904
1.8291,453,2025,0.2037
1.8701,453,2025,0.1990
1.8598,453,2025,0.2026
1.8445,453,2025,0.2013
1.8456,453,2025,0.2015
1.8493,453,2025,0.2014
1.8532,453,2025,0.2064
2.1397,453,2025,0.2101
1.8329,453,2025,0.2031
1.8341,453,2025,0.2011
1.4437,297,2345,0.1582
1.4353,297,2345,0.1624
1.4220,297,2345,0.1662
1.4799,297,2345,0.1657
1.4454,297,2345,0.1580
1.4262,297,2345,0.1637
1.4145,297,2345,0.1567
1.4210,297,2345,0.1551
1.4411,297,2345,0.1531
1.5031,297,2345,0.1544
0.6010,115,613,0.2466
0.5907,115,613,0.2443
0.6020,115,613,0.2353
0.5989,115,613,0.2291
0.5818,115,613,0.2364
0.5813,115,613,0.2489
0.5986,115,613,0.2361
0.5788,115,613,0.2363
0.5770,115,613,0.2496
0.5930,115,613,0.2271
41.2796,8167,15751,0.0776
37.0585,8167,15751,0.0771
32.6705,8167,15751,0.0777
32.8236,8167,15751,0.0766
32.4465,8167,15751,0.0766
32.6779,8167,15751,0.0769
32.5816,8167,15751,0.0767
32.5225,8167,15751,0.0788
32.7511,8167,15751,0.0774
32.4089,8167,15751,0.0774
0.1689,34,78,0.3156
0.1659,34,78,0.3187
0.1699,34,78,0.3042
0.1641,34,78,0.3233
0.1671,34,78,0.3240
0.1647,34,78,0.3134
0.1640,34,78,0.3097
0.1656,34,78,0.3349
0.1620,34,78,0.2988
0.1719,34,78,0.3129
0.2815,77,254,0.3032
0.2764,77,254,0.3030
0.2780,77,254,0.3295
0.2766,77,254,0.3223
0.2786,77,254,0.3133
0.2868,77,254,0.3069
0.2763,77,254,0.3227
0.2741,77,254,0.3252
0.2771,77,254,0.3154
0.2757,77,254,0.3131
4.3495,1543,2742,0.3128
4.3303,1543,2742,0.3162
4.3484,1543,2742,0.3145
4.4618,1543,2742,0.3147
4.3485,1543,2742,0.3196
4.3565,1543,2742,0.3186
4.3818,1543,2742,0.3142
4.3539,1543,2742,0.3192
4.3944,1543,2742,0.3142
4.2997,1543,2742,0.3153
0.3578,105,441,0.2634
0.3515,105,441,0.2791
0.3652,105,441,0.2837
0.3601,105,441,0.2709
0.3487,105,441,0.2796
0.3641,105,441,0.2708
0.3491,105,441,0.2829
0.3533,105,441,0.2723
0.3535,105,441,0.2774
0.3615,105,441,0.2734
14.7473,4586,6594,0.1729
14.7318,4586,6594,0.1742
14.7984,4586,6594,0.1751
14.8540,4586,6594,0.1750
14.7811,4586,6594,0.1715
16.2819,4586,6594,0.1729
15.8319,4586,6594,0.1736
17.5570,4586,6594,0.1744
16.7282,4586,6594,0.1756
16.6180,4586,6594,0.1759
